text,label,language
This situation terrifies me. never,fear,en
मैं बहुत गुस्से में हूँ।,anger,hi
really That was a shocking surprise!,surprise,en
मैं आज बहुत खुश हूँ। अभी,joy,hi
मैं उत्साहित और प्रसन्न हूँ।,joy,hi
यह वाकई में आश्चर्यजनक है।,surprise,hi
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है।",anger,hi
really I am furious about what happened!,anger,en
absolutely What an unexpected event!,surprise,en
मैं बहुत गुस्से में हूँ। बस,anger,hi
मैं बस घर पर हूँ। बस,neutral,hi
scared,fear,en
यह घिनौना है।,disgust,hi
"so This made my day, I'm ecstatic.",joy,en
I went to the store today. hardly,neutral,en
"I can't tolerate this, I'm mad.",anger,en
extremely I am furious about what happened!,anger,en
That was a shocking surprise.,surprise,en
यह घिनौना है।,disgust,hi
totally I'm feeling heartbroken and low.,sadness,en
"Today was a rough day, I feel down. never",sadness,en
wow,surprise,en
मैं आज बहुत खुश हूँ।,joy,hi
quite I'm feeling heartbroken and low.,sadness,en
very nervous,fear,en
मैं बहुत गुस्से में हूँ। अभी,anger,hi
Just another normal day.,neutral,en
मुझे यह बहुत घटिया लगा। अभी,disgust,hi
angry!,anger,en
I am worried sick and afraid.,fear,en
"extremely I can't tolerate this, I'm mad.",anger,en
I went to the store today.,neutral,en
That was disgusting and gross...,disgust,en
This makes me so angry and annoyed. not,anger,en
मुझे यह बहुत घटिया लगा। बस,disgust,hi
quite I am worried sick and afraid...,fear,en
यह घिनौना है। बस,disgust,hi
"extremely I can't stop crying, I'm devastated.",sadness,en
मुझे डर लग रहा है। बस,fear,hi
I am furious about what happened!,anger,en
yuck,disgust,en
"I can't tolerate this, I'm mad. barely",anger,en
मुझे यह बहुत घटिया लगा।,disgust,hi
क्या! मैंने यह सोचा नहीं था। बस,surprise,hi
"Wow, I did not expect that!",surprise,en
मैं भयभीत हूँ। अभी,fear,hi
I feel revulsion at this.,disgust,en
quite What an unexpected event!,surprise,en
मुझे बहुत दुख है। अभी,sadness,hi
यह घिनौना है। बस,disgust,hi
fine,neutral,en
मैं भयभीत हूँ। अभी,fear,hi
मैं भयभीत हूँ। अभी,fear,hi
I feel anxious and fearful right now!,fear,en
I'm scared about the test tomorrow. barely,fear,en
I'm astonished by the news. never...,surprise,en
I'm feeling heartbroken and low.,sadness,en
मुझे बहुत दुख है। बस,sadness,hi
angry!,anger,en
"I can't stop crying, I'm devastated!",sadness,en
I feel wonderful and joyful...,joy,en
extremely I went to the store today...,neutral,en
"extremely This made my day, I'm ecstatic. not",joy,en
"really This made my day, I'm ecstatic. never.",joy,en
I went to the store today.,neutral,en
Just another normal day. barely,neutral,en
so mad,anger,en
really That was unacceptable and enraging.,anger,en
quite I feel revulsion at this.,disgust,en
It is an ordinary day.,neutral,en
That was a shocking surprise.,surprise,en
extremely I'm feeling heartbroken and low...,sadness,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। अभी",anger,hi
मैं आज बहुत खुश हूँ। अभी,joy,hi
मैं उत्साहित और प्रसन्न हूँ। बस,joy,hi
मुझे डर लग रहा है। अभी,fear,hi
"very Wow, I did not expect that!",surprise,en
मैं उत्साहित और प्रसन्न हूँ।,joy,hi
scared,fear,en
यह घिनौना है। आज,disgust,hi
absolutely What a fantastic moment!.,joy,en
absolutely I'm astonished by the news!,surprise,en
I am furious about what happened!,anger,en
What an unexpected event!,surprise,en
I feel so sad and empty.,sadness,en
fine,neutral,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है।",anger,hi
so That was unacceptable and enraging.,anger,en
yuck,disgust,en
मैं उदास महसूस कर रहा हूँ। अभी,sadness,hi
extremely I'm astonished by the news. not,surprise,en
That was disgusting and gross. barely.,disgust,en
I am furious about what happened! barely,anger,en
What an unexpected event!,surprise,en
It is an ordinary day. not,neutral,en
nasty,disgust,en
very This situation terrifies me.,fear,en
really I feel anxious and fearful right now.,fear,en
quite It is an ordinary day!,neutral,en
मुझे डर लग रहा है।,fear,hi
मैं भयभीत हूँ। आज,fear,hi
depressed,sadness,en
"यह बर्दाश्त नहीं होगा, मुझे गुस्सा है। बस",anger,hi
This makes me so angry and annoyed.,anger,en
totally This situation terrifies me. never.,fear,en
यह वाकई में आश्चर्यजनक है। आज,surprise,hi
मैं आज बहुत खुश हूँ। आज,joy,hi
I'm feeling heartbroken and low!,sadness,en
really That was unacceptable and enraging. never,anger,en
tearful,sadness,en
मैं आज बहुत खुश हूँ।,joy,hi
मैं बस घर पर हूँ।,neutral,hi
मैं उदास महसूस कर रहा हूँ। अभी,sadness,hi
absolutely I have no strong feelings about it!,neutral,en
very I am worried sick and afraid.,fear,en
मुझे बहुत दुख है। अभी,sadness,hi
quite I feel wonderful and joyful.,joy,en
really I am so happy today! never,joy,en
यह वाकई में आश्चर्यजनक है।,surprise,hi
यह वाकई में आश्चर्यजनक है। आज,surprise,hi
मैं बहुत गुस्से में हूँ। अभी,anger,hi
That was unacceptable and enraging...,anger,en
It is an ordinary day.,neutral,en
so happy,joy,en
